date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:07	55070/55070	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Sep%202025%2016:36:12%20GMT	https://getxitox.com/go/purchase4.php	C:/Users/SADAQAT%20ALI%20NESTER/Desktop/TSL3/getxitox.com/go/purchase4.html	(from )
21:36:07	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Sep%202025%2016:36:13%20GMT	https://getxitox.com/robots.txt		(from )
21:36:08	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2025%20Sep%202025%2016:36:13%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/SADAQAT%20ALI%20NESTER/Desktop/TSL3/www.googletagmanager.com/gtm.15445.delayed	(from https://getxitox.com/go/purchase4.php)
21:36:08	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%22397754ba49e9e0cf4e7c190da78dda05%22	https://cdn.truegcloud.com/scripts/jquery.1.9.1.min.js	C:/Users/SADAQAT%20ALI%20NESTER/Desktop/TSL3/cdn.truegcloud.com/scripts/jquery.1.9.1.min.js	(from https://getxitox.com/go/purchase4.php)
21:36:09	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-63f9a1dfe9140-gzip%22	https://getxitox.com/css/skeleton.min.css	C:/Users/SADAQAT%20ALI%20NESTER/Desktop/TSL3/getxitox.com/css/skeleton.min.css	(from https://getxitox.com/go/purchase4.php)
21:36:09	328956/328956	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2025%20Sep%202025%2016:36:14%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/SADAQAT%20ALI%20NESTER/Desktop/TSL3/connect.facebook.net/en_US/fbevents.js	(from https://getxitox.com/go/purchase4.php)
21:36:10	54998/54998	---M-Z	200	added ('OK')	text/css	etag:%22d6d6-63f9a1dfe9140-gzip%22	https://getxitox.com/css/all.min.css	C:/Users/SADAQAT%20ALI%20NESTER/Desktop/TSL3/getxitox.com/css/all.min.css	(from https://getxitox.com/go/purchase4.php)
21:36:10	12212/12212	---M-Z	200	added ('OK')	text/css	etag:%222fb4-63f9a1dfe9140-gzip%22	https://getxitox.com/css/main.css	C:/Users/SADAQAT%20ALI%20NESTER/Desktop/TSL3/getxitox.com/css/main.css	(from https://getxitox.com/go/purchase4.php)
21:36:10	18574/18574	---M--	200	added ('OK')	binary/octet-stream	etag:%22af6ffdf43cacfbdebbbed0a4a27c804e%22	https://cdn.truegcloud.com/simplepromise/SP-Logo-Hanging.png	C:/Users/SADAQAT%20ALI%20NESTER/Desktop/TSL3/cdn.truegcloud.com/simplepromise/SP-Logo-Hanging.png	(from https://getxitox.com/go/purchase4.php)
21:36:11	5349/5349	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e31293f40e8a324de552ff593ee76a9b%22	https://d10lpsik1i8c69.cloudfront.net/w.js	C:/Users/SADAQAT%20ALI%20NESTER/Desktop/TSL3/d10lpsik1i8c69.cloudfront.net/w.js	(from https://getxitox.com/go/purchase4.php)
